
Emo_Nback_Behavioral_20161208,YALE,5D540DWZ,2.000,1017.984,0.806,942.500,0.750,992.484,0.775,982.059,0.850,1143.765,0.850,988.812,0.863,966.000,0.700,954.000,0.800,923.950,1.000,1103.211,0.950,1051.533,0.750,921.938,0.800,1033.533,0.750,1065.071,0.700,1195.133,0.750,1064.078,0.800,924.250,0.800,1128.857,0.700,996.188,0.800,1198.333,0.900,961.625,0.800,1162.143,0.700,910.000,1.000,1224.400,1.000,886.875,0.800,1095.571,0.700,1139.833,0.600,1165.750,0.800,972.600,0.812,963.357,0.700,880.176,0.850,969.500,0.900,1082.375,0.800,971.833,0.600,792.111,0.900,937.900,1.000,968.556,0.900,957.000,0.800,979.250,0.800,1009.000,0.800,1228.714,0.700,0.891,0.688,0.719,0.625,0.700,0.818,0.625,0.600,0.909,0.875,0.700,0.909,0.750,0.800,0.909,
Emo_Nback_20160913,YALE,60VLVXBP,3.000,1245.378,0.894,1148.189,0.925,1294.235,0.850,1187.865,0.925,1361.457,0.875,1164.194,0.900,980.950,1.000,1188.250,0.800,1163.105,0.950,1358.353,0.850,1327.704,0.887,1344.941,0.850,1388.444,0.900,1214.000,0.900,1364.389,0.900,1277.101,0.863,1124.947,0.950,1304.125,0.800,1293.158,0.950,1420.667,0.750,994.700,1.000,1197.167,0.600,1281.556,0.900,1723.714,0.700,1269.667,0.900,1368.300,1.000,1303.600,1.000,1155.500,0.800,1215.797,0.925,1172.722,0.900,1285.444,0.900,1076.722,0.900,1317.050,1.000,967.200,1.000,1182.900,1.000,1056.500,1.000,1102.600,1.000,1429.625,0.800,1413.625,0.800,1102.000,0.800,1531.500,1.000,0.978,0.812,0.844,1.000,1.000,0.864,0.625,0.700,1.000,0.750,0.900,1.000,1.000,0.700,0.909,
Emo_Nback_20160913,YALE,7BCF45XY,3.000,1006.476,0.906,894.857,0.875,1011.857,0.875,980.306,0.900,1125.974,0.975,885.789,0.950,866.000,1.000,874.611,0.900,870.111,0.900,929.750,1.000,1139.406,0.863,933.333,0.750,1157.176,0.850,1090.500,0.900,1332.526,0.950,1059.913,0.863,937.125,0.800,1106.562,0.800,973.722,0.900,1205.684,0.950,892.400,1.000,932.889,0.900,793.700,1.000,938.700,1.000,1011.667,0.600,1329.857,0.700,1198.750,0.800,1502.333,0.900,957.961,0.950,859.263,0.950,932.105,0.950,986.889,0.900,1050.250,1.000,839.600,1.000,816.333,0.900,965.625,0.800,920.800,1.000,881.111,0.900,1036.300,1.000,1003.900,1.000,1179.700,1.000,0.935,0.844,0.844,0.750,0.900,0.909,0.750,0.800,0.955,0.875,0.900,0.909,1.000,1.000,0.955,
Emo_Nback_20160913,YALE,7BTZH7L2,4.000,1045.338,0.925,1067.395,0.950,1020.139,0.900,974.105,0.950,1122.444,0.900,981.446,0.925,1038.450,1.000,952.882,0.850,921.300,1.000,1013.706,0.850,1109.230,0.925,1099.556,0.900,1080.316,0.950,1032.778,0.900,1219.737,0.950,1122.365,0.925,1201.684,0.950,1102.789,0.950,963.850,1.000,1249.562,0.800,1243.400,1.000,1076.700,1.000,946.100,1.000,1260.429,0.700,1155.333,0.900,1131.778,0.900,981.600,1.000,1241.111,0.900,968.311,0.925,933.105,0.950,927.765,0.850,985.500,0.900,1020.750,1.000,833.500,1.000,776.000,0.700,896.500,1.000,841.000,1.000,1043.778,0.900,1034.000,1.000,1096.750,0.800,1200.500,1.000,1.000,0.906,0.875,0.875,1.000,0.955,0.875,0.900,0.909,1.000,0.800,1.000,0.750,0.800,1.000,
Emo_Nback_20160913,YALE,97YHGYC9,2.000,803.884,0.919,835.231,0.975,791.730,0.925,719.135,0.925,873.382,0.850,739.461,0.950,764.421,0.950,732.895,0.950,598.750,1.000,876.389,0.900,872.845,0.887,902.500,1.000,853.833,0.900,860.765,0.850,870.000,0.800,785.486,0.900,899.105,0.950,745.111,0.900,716.882,0.850,770.722,0.900,842.444,0.900,650.000,0.900,612.400,1.000,825.400,1.000,950.100,1.000,840.222,0.900,866.143,0.700,702.375,0.800,821.547,0.938,774.550,1.000,835.895,0.950,721.050,1.000,988.875,0.800,694.200,1.000,807.500,1.000,585.100,1.000,940.125,0.800,854.900,1.000,867.444,0.900,857.000,1.000,1037.625,0.800,0.978,0.875,0.750,1.000,0.900,1.000,0.625,1.000,1.000,0.875,0.900,0.955,0.500,0.800,1.000,
Emo_Nback_20160913,YALE,A31C7WYJ,1.000,885.009,0.700,841.586,0.725,915.909,0.825,799.103,0.725,1015.048,0.525,894.271,0.738,817.769,0.650,902.706,0.850,836.333,0.900,1066.455,0.550,874.698,0.662,860.938,0.800,929.938,0.800,738.182,0.550,958.500,0.500,951.875,0.700,887.500,0.700,981.000,0.900,840.143,0.700,1146.000,0.500,825.833,0.600,1008.667,0.900,923.750,0.800,1145.200,0.500,933.750,0.800,953.333,0.900,728.667,0.600,1146.800,0.500,818.143,0.700,798.733,0.750,837.800,0.750,760.800,0.750,896.000,0.550,810.857,0.700,783.500,0.800,766.400,1.000,1000.833,0.600,788.125,0.800,899.857,0.700,749.600,0.500,770.200,0.500,0.891,0.438,0.781,0.875,0.300,0.864,1.000,0.400,0.955,0.750,0.500,0.818,0.500,0.200,0.682,
Emo_Nback_Behavioral_20161208,YALE,ARHC5HBJ,3.000,743.054,0.931,760.459,0.925,748.417,0.900,660.250,1.000,811.806,0.900,654.539,0.950,747.611,0.900,668.333,0.900,576.900,1.000,636.000,1.000,835.205,0.912,772.632,0.950,828.500,0.900,743.600,1.000,1031.562,0.800,746.892,0.925,800.000,0.900,716.850,1.000,678.350,1.000,810.375,0.800,803.625,0.800,647.700,1.000,563.800,1.000,657.000,1.000,797.100,1.000,786.000,1.000,792.900,1.000,1066.000,0.600,739.267,0.938,723.000,0.950,787.875,0.800,642.150,1.000,812.950,1.000,702.800,1.000,694.125,0.800,590.000,1.000,615.000,1.000,745.444,0.900,881.625,0.800,694.300,1.000,1010.900,1.000,0.957,0.844,0.844,0.750,0.900,1.000,0.875,0.900,0.909,1.000,1.000,1.000,0.750,0.900,0.955,
Emo_Nback_20160913,YALE,AYL4T0GT,3.000,1105.072,0.863,1143.400,0.875,1044.735,0.850,1100.162,0.925,1132.938,0.800,994.487,0.950,1044.111,0.900,961.684,0.950,955.200,1.000,1021.632,0.950,1240.629,0.775,1248.529,0.850,1149.933,0.750,1270.706,0.850,1295.615,0.650,1096.262,0.812,1184.412,0.850,999.235,0.850,1069.941,0.850,1139.000,0.700,1237.625,0.800,886.400,1.000,860.900,1.000,979.444,0.900,1137.111,0.900,1160.429,0.700,1368.571,0.700,1426.200,0.500,1112.918,0.912,1104.667,0.900,1090.235,0.850,1125.850,1.000,1128.222,0.900,889.300,1.000,1045.333,0.900,1049.500,1.000,1059.600,1.000,1373.875,0.800,1140.750,0.800,1202.200,1.000,1214.000,0.800,0.957,0.844,0.719,0.500,1.000,0.955,0.750,0.700,0.955,1.000,0.900,0.909,0.625,0.900,0.818,
Emo_Nback_20160913,YALE,B1DNH7JC,3.000,983.696,0.925,959.615,0.975,932.579,0.950,962.676,0.925,1091.324,0.850,852.787,0.938,841.050,1.000,819.158,0.950,859.824,0.850,892.474,0.950,1118.192,0.912,1084.421,0.950,1046.000,0.950,1050.100,1.000,1343.200,0.750,1020.403,0.900,974.000,1.000,987.833,0.900,1057.000,0.850,1072.882,0.850,799.800,1.000,833.000,0.900,898.714,0.700,805.100,1.000,1148.200,1.000,1142.667,0.900,1167.800,1.000,1455.429,0.700,948.921,0.950,944.474,0.950,882.850,1.000,882.500,1.000,1109.765,0.850,882.300,1.000,806.700,1.000,832.600,1.000,989.556,0.900,1013.556,0.900,959.000,1.000,932.400,1.000,1245.000,0.800,0.978,0.938,0.812,0.875,1.000,1.000,1.000,0.800,1.000,0.750,0.900,1.000,0.625,1.000,0.864,
Emo_Nback_20160913,YALE,BE6KKTH2,1.000,791.400,0.688,825.061,0.825,829.880,0.625,692.680,0.625,806.037,0.675,760.873,0.887,720.850,1.000,796.667,0.900,711.062,0.800,816.941,0.850,846.974,0.487,985.385,0.650,915.286,0.350,660.000,0.450,787.500,0.500,843.661,0.738,923.056,0.900,842.333,0.600,703.143,0.700,880.600,0.750,749.100,1.000,865.625,0.800,822.143,0.700,797.300,1.000,1140.500,0.800,795.750,0.400,584.143,0.700,1047.200,0.500,730.941,0.637,707.467,0.750,818.385,0.650,679.364,0.550,712.833,0.600,692.600,1.000,741.500,1.000,624.667,0.900,845.000,0.700,737.200,0.500,1074.667,0.300,925.500,0.200,527.800,0.500,0.696,0.625,0.688,0.875,0.800,0.818,0.625,0.600,0.636,0.625,0.600,0.636,0.625,0.500,0.773,
